attendance,midsem,assignment,gpa,quiz,result
2,13,5,9.0,4,1
0,6,1,2.6,1,0
4,4,0,1.7,1,0
89,17,0,5.9,3,1
13,1,5,1.8,3,0
26,10,0,6.8,2,0
8,7,3,4.9,0,0
78,0,4,1.1,3,0
14,11,2,9.1,0,0
89,1,5,6.7,5,1
41,17,1,5.5,3,0
76,6,1,3.7,5,0
50,16,4,1.3,4,1
62,13,0,7.1,4,1
95,6,0,8.1,5,1
51,2,1,1.3,4,0
95,5,4,4.9,5,1
3,19,1,4.8,0,0
93,1,0,3.5,2,0
100,16,5,7.9,5,1
22,11,2,1.0,3,0
14,11,0,2.1,3,0
42,16,5,0.0,0,1
28,9,2,3.7,5,0
35,2,3,2.9,4,0
12,19,4,8.7,2,1
31,17,5,7.5,3,1
70,12,3,0.8,2,1
58,11,0,7.4,2,0
85,16,4,6.8,1,1
27,3,5,2.8,2,0
65,9,0,0.2,5,0
41,10,4,1.2,1,0
44,5,4,2.5,0,0
61,5,0,8.2,4,0
56,8,0,4.7,1,0
5,14,5,9.2,2,1
27,1,4,7.9,4,0
27,3,5,2.9,2,0
43,4,4,8.5,2,0
83,16,5,1.2,1,1
29,7,0,0.4,0,0
61,7,0,6.1,2,0
74,11,1,3.4,5,1
91,20,5,3.3,1,1
88,7,1,6.9,5,1
61,18,1,8.5,5,1
96,2,3,3.2,2,0
0,17,4,3.3,5,0
26,20,2,5.3,4,1
61,18,3,6.5,0,1
76,18,4,2.0,2,1
2,14,2,9.1,5,1
69,5,1,6.5,0,0
71,15,2,6.3,0,1
26,7,0,9.0,4,0
8,15,0,9.1,4,0
61,17,5,1.4,3,1
36,19,4,1.5,0,1
96,15,3,7.6,2,1
50,10,1,9.6,4,1
43,6,4,6.7,2,0
23,16,1,4.1,0,0
78,16,0,6.8,4,1
58,11,3,2.3,3,1
31,12,3,10.0,0,1
95,9,0,4.3,2,1
87,6,2,9.3,3,1
51,13,3,4.3,0,1
61,0,2,9.3,4,0
57,16,1,3.4,5,1
51,3,3,7.6,0,0
11,20,5,9.5,1,1
38,4,0,6.5,2,0
1,19,2,6.8,4,1
2,6,5,1.0,4,0
100,9,1,4.7,1,1
55,16,1,8.9,5,1
80,6,3,2.4,3,1
58,0,3,7.9,4,0
1,6,5,6.8,3,0
1,10,4,2.2,3,0
91,8,4,2.8,3,1
53,11,3,4.3,5,1
86,2,4,1.3,0,0
100,3,0,9.1,1,0
95,3,5,7.4,2,1
96,12,0,3.6,1,1
0,18,4,3.0,4,1
18,9,3,6.9,1,0
1,4,0,4.2,2,0
52,6,1,2.3,0,0
43,15,3,4.3,4,1
89,0,5,8.7,0,0
31,11,2,0.7,4,0
69,1,2,3.7,2,0
31,6,3,9.6,0,0
67,10,4,0.1,2,1
54,12,0,8.9,2,1
74,1,0,3.7,5,0
55,6,3,1.9,1,0
16,14,1,0.1,4,0
37,10,5,0.7,3,0
23,1,4,1.7,3,0
68,6,1,0.3,0,0
97,3,3,3.4,2,0
69,10,3,0.4,1,0
85,1,1,6.9,4,0
10,15,2,8.2,0,0
15,6,3,8.9,2,0
96,12,5,5.5,5,1
72,4,4,9.5,3,1
58,16,1,0.1,3,1
69,20,2,1.3,4,1
79,11,1,2.9,4,1
92,18,2,7.9,4,1
2,6,2,8.9,0,0
19,5,5,6.2,4,0
58,7,4,3.8,0,1
35,12,3,6.7,1,0
18,4,2,1.8,2,0
89,1,3,4.6,3,0
66,8,4,5.1,0,0
18,10,3,1.0,2,0
19,5,5,0.3,5,0
95,6,5,7.5,4,1
70,6,0,5.3,3,0
51,18,5,3.3,5,1
32,5,2,4.4,0,0
39,10,4,9.6,4,1
38,10,5,3.8,2,1
81,6,1,1.0,1,0
0,1,4,4.6,2,0
10,18,2,6.5,0,1
91,3,4,0.1,1,0
56,5,5,3.3,1,0
88,16,1,3.9,4,1
49,4,0,4.6,2,0
22,6,2,3.0,0,0
30,8,2,6.7,5,0
93,0,4,9.4,5,1
41,0,3,9.1,1,0
98,18,3,6.6,4,1
6,5,1,5.1,5,0
15,17,0,8.3,1,1
89,9,0,8.4,2,1
59,10,4,8.3,5,1
1,0,4,1.6,3,0
0,0,3,0.3,0,0
47,12,5,9.8,3,1
11,4,0,9.6,2,0
68,19,5,5.6,3,1
36,0,0,9.9,2,0
31,19,5,7.7,2,1
8,2,5,5.2,4,0
98,17,0,3.9,3,1
18,8,1,5.9,1,0
47,13,1,5.2,2,0
79,16,4,9.9,3,1
2,13,5,4.9,1,0
19,3,5,8.4,0,0
23,4,5,8.1,1,0
53,20,5,0.7,3,1
32,16,5,0.9,3,1
23,1,3,6.6,1,0
74,4,2,2.6,1,0
71,3,5,6.6,5,1
35,3,3,1.4,2,0
37,5,1,4.0,3,0
83,19,5,1.0,2,1
98,20,1,2.8,2,1
88,12,4,0.9,0,1
98,4,2,9.7,3,1
24,6,0,4.0,2,0
92,19,2,9.0,0,1
17,0,5,9.7,5,0
81,13,5,9.1,2,1
65,3,2,4.5,2,0
53,16,2,7.8,5,1
34,20,4,1.5,3,1
79,13,1,0.9,1,1
60,15,0,8.8,5,1
40,13,2,0.3,1,0
99,15,0,9.7,3,1
32,19,2,6.7,1,1
67,7,1,4.2,4,0
32,2,0,1.4,1,0
13,18,3,7.2,5,1
20,0,1,5.6,2,0
47,1,0,7.1,2,0
19,14,2,4.2,0,0
7,9,2,0.7,5,0
6,17,1,3.1,3,0
66,13,1,3.2,0,0
16,16,2,0.1,2,0
32,12,0,0.1,2,0
47,0,3,3.3,0,0
75,4,4,7.3,5,1
58,12,1,6.2,4,1
85,13,2,2.4,1,1
21,2,0,6.0,4,0
29,14,1,6.5,4,1
37,18,0,5.2,4,1
50,16,1,5.2,5,1
53,2,2,3.7,4,0
7,15,0,1.2,1,0
26,13,2,3.9,3,0
26,11,0,3.5,0,0
97,11,1,5.9,4,1
20,10,4,8.6,4,1
29,16,4,3.8,0,1
96,7,3,7.1,0,1
27,16,3,8.1,3,1
63,20,5,2.1,2,1
96,19,2,9.0,3,1
68,10,0,0.7,2,0
60,1,3,9.0,5,0
47,9,1,1.6,1,0
18,9,4,3.4,3,0
3,10,0,6.1,1,0
34,5,5,9.1,0,0
63,3,4,2.6,3,0
48,11,0,7.6,5,1
16,10,3,7.1,0,0
43,12,3,1.6,5,1
91,4,2,4.8,5,1
29,5,5,4.8,4,0
92,0,0,3.0,0,0
45,5,5,7.8,5,1
5,17,1,9.3,4,1
98,8,5,7.2,2,1
36,14,3,9.7,4,1
23,7,2,0.5,2,0
92,18,3,0.4,4,1
45,15,4,8.9,4,1
52,5,3,9.0,1,0
94,5,0,1.1,1,0
98,2,2,3.6,0,0
59,9,0,8.4,5,1
96,0,1,1.3,1,0
62,13,1,2.7,2,1
84,3,3,6.8,1,0
31,11,2,9.8,0,0
86,5,5,8.0,3,1
32,10,2,7.8,2,0
66,11,2,3.4,3,1
17,9,2,6.6,2,0
24,17,3,1.1,5,1
94,6,0,9.9,5,1
53,6,3,4.8,5,1
57,10,5,6.4,0,1
66,3,0,8.8,1,0
45,19,5,0.0,3,1
23,0,4,9.8,3,0
31,12,4,3.6,1,1
46,17,0,3.4,0,0
85,8,3,1.5,1,0
22,8,5,8.6,4,0
65,8,5,8.7,4,1
26,9,1,0.2,5,0
1,1,5,0.6,4,0
89,5,3,9.2,3,1
16,14,1,1.2,5,0
32,2,3,6.2,3,0
8,10,2,6.2,0,0
42,5,5,8.7,2,1
47,2,2,5.7,1,0
38,10,4,4.3,2,1
92,14,4,9.7,3,1
41,12,0,2.3,1,0
25,19,5,2.6,3,1
98,9,1,0.8,0,0
49,5,2,9.8,5,0
24,14,3,7.1,1,0
23,17,5,0.1,3,1
12,17,0,7.0,4,0
59,6,3,4.0,4,0
6,14,2,9.7,3,0
56,17,5,2.8,2,1
35,17,2,7.1,5,1
44,19,5,6.3,0,1
19,8,5,0.1,0,0
64,1,2,8.9,3,0
7,7,2,1.4,0,0
15,19,3,6.6,1,1
13,1,0,7.8,0,0
75,10,2,6.3,4,1
86,6,4,1.0,3,1
14,5,0,9.8,1,0
91,9,4,2.4,0,1
97,4,3,6.3,4,1
65,10,2,8.0,5,1
31,0,0,9.4,2,0
86,1,2,6.0,0,0
62,0,5,2.6,4,0
85,18,2,8.4,5,1
50,1,0,1.6,5,0
24,20,2,0.2,4,1
57,19,2,9.1,4,1
62,20,1,5.8,4,1
61,3,1,0.7,2,0
21,11,0,5.8,3,0
57,19,0,1.5,4,1
57,17,5,0.3,3,1
85,0,5,1.2,5,1
48,0,2,7.8,2,0
51,13,4,7.6,5,1
41,3,0,6.0,2,0
69,4,2,2.1,5,0
14,10,4,7.4,1,0
53,12,1,4.1,1,0
59,15,5,5.1,4,1
100,12,0,9.0,3,1
96,1,2,4.6,5,1
7,15,1,6.3,2,0
52,5,3,9.6,0,0
59,13,1,4.5,1,0
4,0,2,5.6,1,0
67,16,5,5.8,5,1
5,10,4,2.4,0,0
95,18,3,7.4,3,1
93,2,3,7.3,3,1
46,10,5,2.1,3,1
98,4,3,0.1,4,0
54,16,0,10.0,4,1
39,6,2,5.8,5,0
51,9,3,1.8,0,0
15,10,1,2.8,5,0
12,2,4,6.2,2,0
29,19,2,1.4,0,0
18,9,5,0.4,2,0
16,9,1,8.0,0,0
62,13,0,7.2,4,1
18,11,3,3.1,3,0
91,14,1,0.6,1,1
57,9,2,4.9,0,0
54,9,1,2.8,0,0
89,18,0,4.0,1,1
100,0,4,2.7,0,0
89,9,3,1.8,3,1
61,1,2,3.9,5,0
22,16,3,9.6,1,0
8,6,3,2.7,1,0
11,6,5,3.4,3,0
0,19,3,3.3,3,1
57,8,1,4.8,1,0
0,1,1,8.4,3,0
33,13,4,4.0,5,1
95,16,0,8.1,3,1
47,0,2,1.2,5,0
88,8,1,8.9,3,1
0,19,3,1.9,1,0
15,20,0,0.4,0,0
60,18,2,1.6,2,1
63,3,2,1.9,1,0
62,7,2,5.1,2,0
68,12,2,4.5,3,1
21,3,4,7.2,3,0
92,8,2,0.5,0,0
66,8,0,5.0,3,0
75,17,1,3.3,2,1
25,11,0,6.3,1,0
15,9,3,0.4,1,0
50,10,5,0.3,5,1
100,6,4,4.3,0,1
85,8,4,8.1,2,1
56,5,3,6.7,3,0
28,18,0,0.2,4,1
77,15,0,1.8,0,0
91,14,3,2.3,0,1
68,6,5,4.2,4,1
46,15,2,5.9,1,1
93,4,2,2.2,5,1
61,15,1,3.8,1,0
68,0,0,5.8,1,0
75,18,0,3.8,4,1
15,4,3,1.4,3,0
89,6,3,4.9,3,1
89,18,2,3.2,5,1
47,4,0,8.6,5,0
84,16,0,7.8,2,1
38,7,4,1.9,2,0
99,0,1,1.5,1,0
32,1,1,3.5,4,0
93,14,2,4.1,5,1
100,19,5,9.3,0,1
22,17,0,3.0,3,0
9,10,4,8.7,4,0
68,9,0,5.1,5,1
99,3,3,8.9,2,1
33,4,2,7.0,5,0
51,3,5,7.1,3,0
94,12,1,5.2,5,1
9,12,0,8.4,3,0
18,17,5,2.5,4,1
57,1,2,9.1,5,0
95,15,1,6.4,5,1
0,0,0,4.4,2,0
68,18,4,9.8,4,1
3,8,2,8.6,0,0
15,2,0,7.7,3,0
23,6,1,2.7,4,0
79,9,1,9.7,4,1
1,0,4,7.4,0,0
91,9,2,6.1,4,1
31,20,2,9.2,3,1
90,8,5,1.6,1,1
83,14,0,1.4,1,1
23,14,5,5.6,2,1
11,2,1,0.6,0,0
49,4,1,6.6,2,0
34,8,4,2.4,1,0
32,8,4,1.2,0,0
32,6,2,4.1,4,0
60,11,5,4.7,4,1
50,8,1,1.7,3,0
42,5,0,0.4,5,0
100,1,3,4.1,1,1
11,8,0,7.6,4,0
66,16,4,8.7,0,1
64,0,0,1.0,5,0
32,18,1,5.2,5,1
39,5,5,2.6,4,0
73,4,2,3.7,2,0
42,1,5,9.3,2,0
43,8,3,3.5,2,0
28,13,2,3.7,5,1
12,3,3,2.1,2,0
11,3,3,9.6,2,0
94,20,1,4.6,5,1
45,14,1,5.7,3,1
1,7,4,4.5,2,0
34,3,4,2.5,3,0
86,15,3,8.1,3,1
80,20,5,0.3,4,1
89,3,4,6.9,5,1
7,15,1,5.9,0,0
92,11,4,1.4,2,1
25,15,3,1.7,0,0
73,18,2,6.6,1,1
89,7,5,3.1,3,1
33,5,5,2.7,1,0
6,9,0,0.6,3,0
67,4,4,7.7,2,0
57,17,5,8.8,1,1
74,9,1,8.2,5,1
28,9,2,4.7,4,0
35,6,1,5.3,1,0
88,17,4,2.4,3,1
20,0,3,1.7,5,0
35,6,0,8.2,3,0
9,20,0,8.0,0,0
100,0,2,7.8,1,1
72,14,5,4.6,4,1
23,3,5,8.6,2,0
63,19,5,9.3,0,1
98,9,0,3.3,1,1
48,8,3,2.2,0,0
98,1,5,4.6,1,1
35,13,1,1.8,2,0
81,15,5,8.8,2,1
95,0,3,3.4,4,0
23,1,2,5.8,0,0
22,6,2,5.9,4,0
61,9,0,5.1,1,0
95,19,3,1.6,2,1
36,0,1,9.9,2,0
11,12,3,1.7,3,0
54,0,1,7.5,3,0
12,4,1,7.9,4,0
22,15,3,1.5,0,0
88,14,4,9.3,1,1
98,16,3,4.9,4,1
29,15,1,6.3,2,0
16,12,5,6.4,2,1
61,10,2,5.0,2,0
83,16,2,1.4,1,1
88,16,0,7.5,4,1
85,1,2,5.8,1,0
12,12,4,1.2,5,0
58,13,1,7.0,2,1
18,10,3,7.0,3,0
48,9,3,5.5,4,1
99,2,4,0.9,3,1
11,16,2,3.5,4,1
60,14,1,0.5,2,1
18,8,2,4.8,3,0
75,9,0,9.1,3,1
8,7,2,0.0,4,0
70,20,0,2.7,5,1
27,12,3,8.0,5,1
77,17,1,0.1,3,1
94,4,5,0.1,3,1
51,5,0,6.1,2,0
82,16,2,7.9,4,1
15,10,2,7.8,4,0
68,19,3,7.8,0,1
98,15,4,3.6,4,1
11,8,5,8.8,2,0
24,1,4,0.1,3,0
51,4,2,3.1,0,0
84,0,4,3.4,3,0
99,3,5,1.7,4,1
52,3,5,3.4,1,0
22,2,1,5.9,3,0
15,8,4,5.2,5,0
56,11,1,3.2,4,1
38,9,2,7.5,5,1
52,1,2,7.1,2,0
41,10,2,2.8,5,1
57,9,3,3.2,4,1
38,5,4,2.9,0,0
13,17,0,1.3,5,0
94,1,5,7.5,1,1
4,1,0,0.5,1,0
34,9,2,1.5,1,0
86,15,4,1.1,5,1
92,11,1,8.3,2,1
74,0,0,0.4,1,0
17,20,2,6.6,3,1
75,7,0,0.4,2,0
8,15,0,7.9,4,0
73,17,5,9.1,0,1
57,12,0,4.9,2,0
16,14,2,8.0,0,0
6,20,5,7.1,2,1
45,11,2,8.0,4,0
12,7,3,7.7,0,0
39,9,3,2.1,2,0
41,13,3,5.0,0,0
8,4,0,9.6,1,0
49,17,4,3.4,1,1
26,18,2,9.7,5,1
65,14,3,5.8,1,1
4,5,4,4.6,3,0
28,10,3,6.6,1,0
36,20,3,8.2,1,1
37,10,4,3.9,4,1
82,19,3,0.3,0,1
7,19,0,7.1,0,0
64,20,0,9.6,1,1
85,17,5,6.2,0,1
16,17,0,1.9,2,0
70,9,1,2.5,5,1
88,1,5,9.1,1,1
44,8,3,0.1,5,0
3,13,1,5.5,1,0
35,18,2,1.6,3,1
69,9,4,2.8,5,1
30,3,2,3.1,2,0
18,5,1,2.2,1,0
60,13,0,7.9,1,0
53,3,3,3.3,0,0
38,14,5,3.5,1,1
90,15,3,4.5,5,1
73,6,0,9.0,5,1
89,16,3,6.9,1,1
18,18,4,0.6,1,1
38,18,4,0.4,1,1
66,16,4,5.7,3,1
44,5,2,8.9,2,0
12,10,0,3.2,5,0
91,15,4,2.5,3,1
57,7,1,7.5,0,0
19,10,4,6.0,4,0
91,6,5,5.7,1,1
71,18,2,1.5,5,1
60,9,1,1.8,0,0
38,8,0,2.8,5,0
0,3,0,2.1,4,0
2,14,5,9.7,1,0
76,12,4,0.2,5,1
91,1,1,6.3,1,0
61,1,5,5.2,4,1
62,15,1,3.2,3,1
24,8,4,8.9,4,1
55,12,4,6.7,4,1
32,2,3,10.0,5,0
37,8,3,1.7,2,0
5,12,4,0.9,1,0
57,20,2,1.4,5,1
43,1,5,2.7,1,0
44,7,3,4.2,3,0
31,8,4,8.6,3,0
44,15,1,2.8,2,0
60,1,5,9.2,2,0
46,5,3,4.6,2,0
20,7,2,6.5,3,0
79,4,5,2.6,4,1
84,8,5,1.6,5,1
74,0,0,8.7,1,0
100,8,1,1.1,1,0
35,9,2,7.7,5,1
98,3,2,5.8,0,1
18,2,2,8.6,3,0
19,9,1,7.2,3,0
56,14,2,2.8,2,1
17,10,0,5.7,5,0
46,13,3,0.1,0,0
48,5,1,4.8,0,0
13,11,2,0.9,3,0
14,12,4,4.3,2,0
30,16,3,1.1,1,1
0,15,5,9.6,2,1
53,2,1,5.2,1,0
2,1,4,9.1,3,0
15,10,5,0.2,2,0
86,8,4,6.4,0,1
56,2,2,3.1,5,0
74,17,1,4.3,4,1
11,19,2,8.7,0,1
73,14,5,9.8,5,1
95,13,0,2.5,1,1
15,1,4,9.5,3,0
71,16,0,6.9,2,1
75,7,5,9.5,3,1
23,9,2,5.6,3,0
27,17,3,9.6,1,1
7,18,4,8.9,3,1
91,7,3,1.3,2,1
35,7,1,3.1,0,0
89,2,4,2.4,3,1
7,2,0,5.7,2,0
57,11,3,8.0,2,1
59,16,5,7.6,1,1
49,3,1,7.3,3,0
27,16,4,3.8,1,1
91,13,5,1.4,0,1
100,18,1,2.1,0,1
40,8,0,7.4,5,0
99,20,5,1.5,2,1
63,11,4,2.2,3,1
26,4,1,4.2,5,0
62,10,2,0.7,2,0
16,19,4,2.1,3,1
72,2,4,1.5,1,0
32,20,4,9.5,0,1
83,14,4,1.9,5,1
76,13,2,8.6,5,1
91,10,5,1.1,0,1
28,19,5,8.7,1,1
12,7,5,6.0,4,0
45,3,0,8.5,4,0
34,11,2,8.7,4,0
5,7,2,6.0,3,0
81,5,1,9.2,5,1
68,14,3,5.9,1,1
46,11,5,7.1,3,1
24,15,3,4.2,3,1
65,15,1,9.1,1,1
9,20,2,8.2,3,1
55,19,1,1.7,5,1
29,19,4,5.8,1,1
4,3,1,9.0,4,0
32,10,1,7.9,4,0
64,12,4,9.6,3,1
17,8,3,2.3,0,0
95,3,4,3.7,1,0
48,11,0,5.1,2,0
10,8,1,2.3,2,0
84,12,1,3.9,3,1
25,15,3,5.4,0,0
62,5,2,1.9,1,0
88,9,4,2.6,4,1
85,12,2,1.2,3,1
58,6,0,7.1,1,0
26,18,4,3.6,1,0
48,18,0,2.2,1,0
76,16,0,5.1,0,1
32,12,0,0.7,1,0
97,12,5,9.2,0,1
98,20,4,2.9,0,1
0,1,4,8.9,5,0
20,9,5,5.0,1,0
54,12,3,8.5,5,1
5,8,5,2.5,4,0
91,0,1,1.8,5,0
80,13,2,8.5,5,1
68,15,2,2.1,1,1
94,19,0,7.5,4,1
4,14,4,3.4,3,0
2,0,4,7.5,2,0
52,16,0,9.1,3,1
22,12,1,9.8,0,0
100,14,2,3.6,3,1
52,15,5,3.7,2,1
36,15,3,9.8,2,1
73,1,1,8.6,4,0
73,16,4,0.5,3,1
82,10,0,5.7,0,0
16,7,2,1.8,5,0
84,19,0,9.9,5,1
77,2,4,1.4,0,0
72,11,0,5.6,4,1
0,19,5,6.7,5,1
50,15,2,9.4,4,1
44,13,0,8.5,5,1
76,15,2,2.5,5,1
3,20,0,5.7,3,0
61,16,0,9.5,4,1
64,10,2,7.4,2,1
31,16,5,6.9,0,1
33,18,0,7.5,5,1
91,0,5,3.2,2,0
94,11,1,7.3,1,1
71,14,3,2.3,2,1
38,17,1,4.3,0,0
25,13,3,8.9,1,0
33,0,1,0.2,3,0
53,12,3,4.1,1,1
2,14,0,2.7,4,0
49,6,2,2.0,0,0
11,14,2,8.4,4,1
64,19,4,7.0,2,1
53,9,3,1.1,3,0
4,13,4,4.9,0,0
93,5,5,4.7,3,1
93,13,5,1.4,5,1
56,11,4,8.0,0,1
16,10,3,3.7,4,0
46,19,2,7.6,2,1
22,18,3,1.9,1,1
78,1,5,3.2,3,0
100,19,0,1.0,0,1
84,0,4,1.4,0,0
13,7,4,8.8,5,1
65,13,5,1.1,3,1
74,8,3,1.0,1,0
50,1,4,9.4,2,0
37,4,2,6.5,0,0
63,7,4,1.0,0,0
97,15,3,9.7,3,1
37,15,5,1.5,3,1
49,12,2,7.7,0,0
97,19,2,0.3,0,1
81,14,4,6.2,5,1
29,0,3,5.5,0,0
78,2,4,2.1,4,0
90,5,0,6.4,0,0
50,13,5,6.2,2,1
62,3,0,8.0,2,0
97,17,2,8.8,5,1
51,14,4,5.1,1,1
37,8,0,4.9,3,0
96,17,1,6.2,1,1
87,2,0,7.3,0,0
78,9,4,3.6,3,1
29,16,4,5.0,0,1
50,6,5,5.9,3,1
80,14,0,9.9,5,1
4,0,4,5.9,4,0
28,10,4,2.2,4,0
3,16,5,5.9,4,1
9,4,5,8.2,5,0
55,6,5,8.6,1,1
16,18,5,8.0,3,1
73,14,1,8.9,1,1
16,2,2,3.3,3,0
83,14,4,5.1,0,1
87,4,3,7.8,4,1
68,11,5,2.6,4,1
33,19,2,3.7,3,1
5,4,5,8.3,1,0
52,2,2,7.7,1,0
65,8,3,9.7,2,1
76,8,0,10.0,4,1
42,6,1,2.4,4,0
74,1,4,9.0,1,0
22,20,0,0.9,4,0
54,15,3,7.1,1,1
79,8,1,2.2,2,0
94,12,1,3.0,3,1
74,18,1,9.5,3,1
15,19,3,2.6,2,1
7,16,5,6.7,4,1
3,5,5,1.8,0,0
3,3,5,0.9,4,0
55,0,0,3.4,1,0
24,17,4,6.2,5,1
66,18,1,2.5,0,1
95,8,1,3.0,2,1
66,12,0,7.1,3,0
26,7,5,1.0,3,0
92,12,1,4.5,4,1
31,14,1,9.4,3,1
49,10,3,4.0,4,1
60,11,2,4.3,1,0
50,13,0,7.4,1,0
18,3,0,7.8,2,0
20,0,5,7.7,5,0
4,3,0,10.0,1,0
81,18,5,0.7,4,1
91,8,3,9.8,3,1
41,9,3,9.5,1,0
60,3,4,8.5,1,0
21,19,5,4.5,4,1
20,8,3,8.7,1,0
69,12,5,2.2,3,1
0,11,0,7.9,5,0
4,10,4,1.9,3,0
11,11,2,8.2,5,0
89,17,1,6.1,3,1
45,11,1,1.0,3,0
33,15,4,9.0,0,1
48,4,5,5.8,3,0
77,19,5,6.6,0,1
89,11,5,2.8,3,1
44,20,2,8.7,3,1
26,10,1,5.5,4,0
72,8,4,4.2,5,1
25,17,5,5.3,3,1
46,2,3,7.0,1,0
85,19,0,7.0,3,1
55,16,2,3.6,2,1
93,13,5,3.9,4,1
62,0,1,5.6,4,0
47,16,0,9.2,3,1
60,7,4,7.5,2,1
80,4,5,3.9,5,1
25,4,1,3.4,3,0
35,8,0,5.2,1,0
0,2,3,8.7,4,0
7,18,2,0.1,4,0
98,8,4,7.1,5,1
51,17,1,2.9,2,1
78,15,3,2.1,0,1
46,0,2,0.1,5,0
55,1,2,9.0,2,0
85,13,3,9.1,1,1
13,13,1,0.6,2,0
89,0,2,5.2,5,0
27,15,4,1.5,0,0
86,14,0,7.6,1,1
77,14,4,6.7,1,1
87,11,5,3.0,0,1
1,15,2,1.2,3,0
25,13,0,8.3,2,0
13,14,3,6.7,5,1
58,14,0,0.1,1,0
55,18,0,6.3,5,1
6,7,0,8.1,2,0
2,1,2,5.9,0,0
22,1,5,4.2,4,0
17,9,5,5.8,0,0
37,2,1,6.2,2,0
98,16,5,6.4,1,1
14,7,2,9.7,2,0
63,3,1,1.8,4,0
88,13,3,6.2,1,1
